"Date","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted","SPY.Open.1","SPY.High.1","SPY.Low.1","SPY.Close.1","SPY.Volume.1","SPY.Adjusted.1","SPY.Open.2","SPY.High.2","SPY.Low.2","SPY.Close.2","SPY.Volume.2","SPY.Adjusted.2","SPY.Open.3","SPY.High.3","SPY.Low.3","SPY.Close.3","SPY.Volume.3","SPY.Adjusted.3"
"2011-02-25",2011-02-25,133.12,134.56,129.7,132.33,862818700,124.29,14.62,11.53,11.96,9.44000000000001,-158294000,9.47000000000001,4.83000000000001,4.21000000000001,2.18999999999998,4.61000000000001,21329500,4.33000000000001,0.0900000000000034,-0.129999999999995,-2.62,-2.19999999999999,271556200,-2.06999999999999
"2011-03-04",2011-03-04,132.82,133.69,130.35,132.47,1054110800,124.42,10.19,9.09,7.94,7.98999999999999,365183300,8.12,4.75,2.49000000000001,2.59999999999999,1.31999999999999,339054300,1.23999999999999,-0.300000000000011,-0.870000000000005,0.650000000000006,0.139999999999986,191292100,0.129999999999995
"2011-03-11",2011-03-11,132.86,133.16,129.49,130.84,1072125000,122.89,7.81000000000002,7.92999999999999,5.74000000000001,6.54000000000001,304129100,6.14,1.42000000000002,-0.120000000000005,-1.81,-2.27000000000001,413757600,-2.13,0.0400000000000205,-0.530000000000001,-0.859999999999985,-1.63,18014200,-1.53
"2011-03-18",2011-03-18,129.99,130.48,125.28,127.76,1547968900,120.52,5.35000000000001,4.66,1.3,2.16000000000001,1184986100,2.55,-3.03999999999999,-4.21000000000001,-7.03999999999999,-6.77,956706400,-5.84,-2.87,-2.68000000000001,-4.21000000000001,-3.08,475843900,-2.37
"2011-03-25",2011-03-25,129.35,131.87,128.32,131.3,746906900,123.86,4.22,5.67,3.27999999999999,5.55000000000001,407602900,5.75,-3.77000000000001,-2.69,-1.38,-1.03,-115911800,-0.430000000000007,-0.640000000000015,1.39000000000001,3.03999999999999,3.54000000000001,-801062000,3.34
"2011-04-01",2011-04-01,131.58,133.77,130.44,133.15,661783400,125.6,4.87000000000002,5.94000000000001,4.73999999999999,6.01000000000001,-26880400,6.19,-1.23999999999998,0.0800000000000125,0.0900000000000034,0.680000000000007,-392327400,1.17999999999999,2.23000000000002,1.90000000000001,2.12,1.84999999999999,-85123500,1.73999999999999
"2011-04-08",2011-04-08,133.43,134,132.31,132.86,660824000,125.33,6.85000000000001,4.66999999999999,6.11,3.56,73479800,3.89,0.569999999999993,0.840000000000003,2.81999999999999,2.02000000000001,-411301000,2.44,1.84999999999999,0.22999999999999,1.87,-0.289999999999992,-959400,-0.269999999999996
"2011-04-15",2011-04-15,133,133.45,130.27,132.04,775858900,124.56,3.81999999999999,3.81,3.14000000000001,3.66999999999999,182290600,3.99000000000001,3.00999999999999,2.97,4.99000000000001,4.27999999999999,-772110000,4.04000000000001,-0.430000000000007,-0.550000000000011,-2.03999999999999,-0.820000000000022,115034900,-0.769999999999996
"2011-04-21",2011-04-21,130.59,133.84,129.51,133.78,627087300,126.2,2.30000000000001,3.49000000000001,1.99999999999999,6.06,-214401900,6.24000000000001,1.24000000000001,1.97,1.19,2.47999999999999,-119819600,2.34,-2.41,0.390000000000015,-0.760000000000019,1.74000000000001,-148771600,1.64
"2011-04-29",2011-04-29,133.68,136.57,133.2,136.43,595273300,128.7,5.61000000000001,5.37,5.44999999999999,5.28,-119783200,5.51999999999998,2.09999999999999,2.79999999999998,2.75999999999999,3.28,-66510100,3.09999999999999,3.09,2.72999999999999,3.69,2.65000000000001,-31814000,2.49999999999999
